Column1,id,geometry,x,y,,,,Typ budovy,,,,Pocet-bytov
187,17670,POINT (21.2684434 48.7562393),21.2684434,48.7562393,,,,Bytovy dom,,,,7
188,17689,POINT (21.2336106 48.7247336),21.2336106,48.7247336,,,,Rodinny dom,,,,1
189,17153,POINT (21.2215516 48.7098671),21.2215516,48.7098671,,,,Rodinny dom,,,,1
190,18024,POINT (21.2330101 48.7299024),21.2330101,48.7299024,,,,Rodinny dom,,,,1
191,18008,POINT (21.2699634 48.7532684),21.2699634,48.7532684,,,,Bytovy dom,,,,19
192,18011,POINT (21.2103195 48.7136222),21.2103195,48.7136222,,,,Bytovy dom,,,,3
193,18013,POINT (21.2078619 48.7143625),21.2078619,48.7143625,,,,Bytovy dom,,,,12
194,18015,POINT (21.23134 48.7312044),21.23134,48.7312044,,,,Rodinny dom,,,,1
195,18017,POINT (21.2316878 48.7308211),21.2316878,48.7308211,,,,Rodinny dom,,,,1
196,18018,POINT (21.2318496 48.7309353),21.2318496,48.7309353,,,,Rodinny dom,,,,1
197,18019,POINT (21.2323095 48.7312522),21.2323095,48.7312522,,,,Rodinny dom,,,,1
198,18021,POINT (21.2321459 48.7307928),21.2321459,48.7307928,,,,Rodinny dom,,,,1
199,18023,POINT (21.2319872 48.7306807),21.2319872,48.7306807,,,,Rodinny dom,,,,1
200,18026,POINT (21.2339247 48.7296278),21.2339247,48.7296278,,,,Rodinny dom,,,,1
201,18003,POINT (21.2315099 48.7313228),21.2315099,48.7313228,,,,Rodinny dom,,,,1
202,18028,POINT (21.234331 48.7294171),21.234331,48.7294171,,,,Rodinny dom,,,,2
203,18029,POINT (21.2345124 48.7293158),21.2345124,48.7293158,,,,Rodinny dom,,,,1
204,18032,POINT (21.2347505 48.7291935),21.2347505,48.7291935,,,,Rodinny dom,,,,1
205,18034,POINT (21.2358958 48.7283662),21.2358958,48.7283662,,,,Rodinny dom,,,,1
206,18042,POINT (21.2076263 48.7131535),21.2076263,48.7131535,,,,Bytovy dom,,,,13
207,18043,POINT (21.207338 48.7134752),21.207338,48.7134752,,,,Bytovy dom,,,,6
208,18045,POINT (21.210457 48.7128719),21.210457,48.7128719,,,,Bytovy dom,,,,11
209,18046,POINT (21.2103096 48.7128501),21.2103096,48.7128501,,,,Bytovy dom,,,,11
210,18051,POINT (21.2372091 48.7296501),21.2372091,48.7296501,,,,Rodinny dom,,,,1
211,18006,POINT (21.2698368 48.7534043),21.2698368,48.7534043,,,,Bytovy dom,,,,19
212,18002,POINT (21.2316491 48.7314386),21.2316491,48.7314386,,,,Rodinny dom,,,,1
213,17690,POINT (21.2331726 48.7246428),21.2331726,48.7246428,,,,Rodinny dom,,,,1
214,17968,POINT (21.2102082 48.7152443),21.2102082,48.7152443,,,,Bytovy dom,,,,11
215,17944,POINT (21.2324075 48.7293516),21.2324075,48.7293516,,,,Rodinny dom,,,,1
216,17946,POINT (21.2321453 48.7300113),21.2321453,48.7300113,,,,Rodinny dom,,,,1
217,17948,POINT (21.2319789 48.7302633),21.2319789,48.7302633,,,,Rodinny dom,,,,1
218,17950,POINT (21.2297616 48.7316479),21.2297616,48.7316479,,,,Rodinny dom,,,,1
219,17952,POINT (21.2309434 48.7312164),21.2309434,48.7312164,,,,Rodinny dom,,,,1
220,17955,POINT (21.272225 48.7548447),21.272225,48.7548447,,,,Bytovy dom,,,,8
221,17956,POINT (21.272347 48.7547146),21.272347,48.7547146,,,,Bytovy dom,,,,8
222,17961,POINT (21.2074217 48.7165673),21.2074217,48.7165673,,,,Bytovy dom,,,,8
223,17964,POINT (21.207655 48.7166014),21.207655,48.7166014,,,,Bytovy dom,,,,8
224,17971,POINT (21.2304151 48.7315267),21.2304151,48.7315267,,,,Rodinny dom,,,,1
225,18001,POINT (21.2323529 48.7317225),21.2323529,48.7317225,,,,Rodinny dom,,,,1
226,17972,POINT (21.2310499 48.7313308),21.2310499,48.7313308,,,,Rodinny dom,,,,1
227,17975,POINT (21.2312485 48.7314502),21.2312485,48.7314502,,,,Rodinny dom,,,,1
228,17977,POINT (21.2315771 48.7319073),21.2315771,48.7319073,,,,Rodinny dom,,,,1
229,17993,POINT (21.2318573 48.7319058),21.2318573,48.7319058,,,,Rodinny dom,,,,1
230,17994,POINT (21.2319886 48.7320048),21.2319886,48.7320048,,,,Rodinny dom,,,,1
231,17996,POINT (21.2315047 48.7322885),21.2315047,48.7322885,,,,Rodinny dom,,,,1
232,17997,POINT (21.231655 48.7324011),21.231655,48.7324011,,,,Rodinny dom,,,,1
233,17998,POINT (21.2323326 48.7322214),21.2323326,48.7322214,,,,Rodinny dom,,,,1
234,18000,POINT (21.2322404 48.7324712),21.2322404,48.7324712,,,,Rodinny dom,,,,1
235,18053,POINT (21.237146 48.7299435),21.237146,48.7299435,,,,Rodinny dom,,,,1
236,18055,POINT (21.2371054 48.7301192),21.2371054,48.7301192,,,,Rodinny dom,,,,1
237,18060,POINT (21.2370829 48.7302402),21.2370829,48.7302402,,,,Rodinny dom,,,,1
238,18130,POINT (21.2355218 48.7304362),21.2355218,48.7304362,,,,Rodinny dom,,,,1
239,18111,POINT (21.236725 48.7292629),21.236725,48.7292629,,,,Rodinny dom,,,,1
240,18113,POINT (21.2362791 48.7295193),21.2362791,48.7295193,,,,Rodinny dom,,,,1
241,18115,POINT (21.2361842 48.7299641),21.2361842,48.7299641,,,,Rodinny dom,,,,1
242,18116,POINT (21.2103522 48.7135153),21.2103522,48.7135153,,,,Bytovy dom,,,,3
243,18117,POINT (21.2104047 48.7133621),21.2104047,48.7133621,,,,Bytovy dom,,,,18
244,18118,POINT (21.2104385 48.7132554),21.2104385,48.7132554,,,,Bytovy dom,,,,18
